VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 

2,2016-03-01 00:00:00,2016-03-01 00:01:39,N,1,-73.944755554199219,40.819049835205078,-73.949485778808594,40.812614440917969,1,.49,3.5,0.5,0.5,0,0,,0.3,4.8,2,1
2,2016-03-01 00:00:23,2016-03-01 00:03:20,N,1,-73.8697509765625,40.733612060546875,-73.859085083007813,40.738811492919922,1,.71,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2016-03-01 00:00:29,2016-03-01 00:04:03,N,1,-73.903434753417969,40.745346069335938,-73.899635314941406,40.735000610351563,5,.90,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-03-01 00:02:46,2016-03-01 00:04:29,N,1,-73.91485595703125,40.764007568359375,-73.919029235839844,40.7657470703125,1,.25,3.5,0.5,0.5,1.2,0,,0.3,6,1,1
2,2016-03-01 00:01:09,2016-03-01 00:04:52,N,1,-73.95074462890625,40.810585021972656,-73.940521240234375,40.824665069580078,1,1.13,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2016-03-01 00:01:04,2016-03-01 00:04:55,N,1,-73.911727905273438,40.775428771972656,-73.914604187011719,40.764446258544922,1,.82,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2016-03-01 00:02:40,2016-03-01 00:05:08,N,1,-73.979026794433594,40.678535461425781,-73.974342346191406,40.681133270263672,2,.44,4,0.5,0.5,1.06,0,,0.3,6.36,1,1
2,2016-03-01 00:00:42,2016-03-01 00:05:30,N,1,-73.84405517578125,40.721141815185547,-73.859611511230469,40.719505310058594,1,1.00,5.5,0.5,0.5,1.7,0,,0.3,8.5,1,1
2,2016-03-01 00:01:27,2016-03-01 00:05:37,N,1,-73.912055969238281,40.775203704833984,-73.899955749511719,40.771881103515625,5,.88,5,0.5,0.5,1.26,0,,0.3,7.56,1,1
2,2016-03-01 00:02:22,2016-03-01 00:05:45,N,1,-73.949958801269531,40.722080230712891,-73.957054138183594,40.729881286621094,6,.85,5,0.5,0.5,1.26,0,,0.3,7.56,1,1
2,2016-03-01 00:02:43,2016-03-01 00:04:52,N,1,-73.935928344726563,40.799423217773438,-73.940559387207031,40.788818359375,1,.93,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2016-03-01 00:02:02,2016-03-01 00:05:43,N,1,-73.944473266601563,40.823802947998047,-73.9364013671875,40.830181121826172,1,.73,5,0.5,0.5,0,0,,0.3,6.3,1,1
2,2016-03-01 00:01:04,2016-03-01 00:06:09,N,1,-73.959785461425781,40.655452728271484,-73.943351745605469,40.656078338623047,1,1.04,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2016-03-01 00:02:38,2016-03-01 00:05:52,N,1,-73.939109802246094,40.805133819580078,-73.936500549316406,40.812362670898437,1,.62,4.5,0.5,0.5,1.16,0,,0.3,6.96,1,1
2,2016-03-01 00:00:01,2016-03-01 00:06:21,N,1,-73.950126647949219,40.811561584472656,-73.936080932617188,40.814933776855469,1,1.09,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-03-01 00:02:10,2016-03-01 00:06:16,N,1,-73.861396789550781,40.833362579345703,-73.864212036132813,40.840023040771484,1,.60,4.5,0.5,0.5,0,0,,0.3,5.8,1,1
2,2016-03-01 00:01:54,2016-03-01 00:07:26,N,1,-73.961097717285156,40.714714050292969,-73.957771301269531,40.733509063720703,2,1.59,6.5,0.5,0.5,1.56,0,,0.3,9.36,1,1
2,2016-03-01 00:01:27,2016-03-01 00:06:42,N,1,-73.925392150878906,40.818111419677734,-73.92816162109375,40.832443237304688,1,1.16,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2016-03-01 00:02:20,2016-03-01 00:07:44,N,1,-73.940475463867187,40.805683135986328,-73.952560424804688,40.800823211669922,1,1.13,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2016-03-01 00:03:53,2016-03-01 00:08:17,N,1,-73.950973510742187,40.665321350097656,-73.943229675292969,40.656116485595703,1,1.15,6,0.5,0.5,0,0,,0.3,7.3,1,1
2,2016-03-01 00:02:54,2016-03-01 00:08:30,N,1,-73.8746337890625,40.735099792480469,-73.88934326171875,40.733848571777344,2,1.06,6,0.5,0.5,1,0,,0.3,8.3,1,1
2,2016-03-01 00:00:35,2016-03-01 00:08:19,N,1,-73.844291687011719,40.721351623535156,-73.818077087402344,40.710460662841797,1,1.74,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2016-03-01 00:00:07,2016-03-01 00:09:58,N,1,-73.992805480957031,40.688648223876953,-73.999542236328125,40.655433654785156,2,2.67,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
2,2016-03-01 00:01:59,2016-03-01 00:10:56,N,1,-73.806991577148438,40.699176788330078,-73.840309143066406,40.670093536376953,1,4.67,14.5,0.5,0.5,3.16,0,,0.3,18.96,1,1
2,2016-03-01 00:05:18,2016-03-01 00:13:01,N,1,-73.807769775390625,40.700706481933594,-73.789306640625,40.674343109130859,1,2.08,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2016-03-01 00:00:45,2016-03-01 00:12:49,N,1,-73.953834533691406,40.743564605712891,-73.959312438964844,40.731147766113281,1,1.32,9.5,0.5,0.5,2.7,0,,0.3,13.5,1,1
2,2016-03-01 00:03:51,2016-03-01 00:13:18,N,1,-73.979843139648438,40.681781768798828,-73.952384948730469,40.674392700195313,1,1.76,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2016-03-01 00:01:22,2016-03-01 00:14:48,N,1,-73.966537475585937,40.693340301513672,-73.929336547851562,40.668956756591797,1,3.75,13.5,0.5,0.5,0,0,,0.3,14.8,2,1
2,2016-03-01 00:02:28,2016-03-01 00:14:49,N,1,-73.869865417480469,40.733589172363281,-73.919380187988281,40.743408203125,1,2.68,12,0.5,0.5,0,0,,0.3,13.3,2,1
2,2016-03-01 00:02:11,2016-03-01 00:16:36,N,1,-73.99688720703125,40.638801574707031,-73.969291687011719,40.633266448974609,1,2.52,11.5,0.5,0.5,3,0,,0.3,15.8,1,1
2,2016-03-01 00:05:38,2016-03-01 00:16:11,N,1,-73.931846618652344,40.847637176513672,-73.938514709472656,40.845073699951172,1,12.05,34,0.5,0.5,10.59,0,,0.3,45.89,1,1
2,2016-03-01 00:00:25,2016-03-01 00:16:43,N,1,-73.952598571777344,40.727081298828125,-73.971260070800781,40.745365142822266,1,5.48,18,0.5,0.5,2.5,5.54,,0.3,27.34,1,1
2,2016-03-01 00:04:05,2016-03-01 00:17:09,N,1,-73.887344360351563,40.747272491455078,-73.926300048828125,40.75677490234375,1,2.58,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
2,2016-03-01 00:00:10,2016-03-01 00:20:33,N,1,-73.951759338378906,40.730392456054687,-73.907844543457031,40.759098052978516,1,3.75,16,0.5,0.5,0,0,,0.3,17.3,2,1
2,2016-03-01 00:00:34,2016-03-01 00:23:50,N,1,-73.992439270019531,40.683925628662109,-73.916007995605469,40.649147033691406,6,5.84,21,0.5,0.5,4.46,0,,0.3,26.76,1,1
2,2016-03-01 00:01:34,2016-03-01 00:26:10,N,1,-73.957572937011719,40.714595794677734,-73.998260498046875,40.677391052246094,1,6.12,21.5,0.5,0.5,0,0,,0.3,22.8,2,1
2,2016-03-01 00:04:14,2016-03-01 00:29:52,N,1,-73.958000183105469,40.721813201904297,-73.861465454101563,40.818988800048828,1,13.17,37,0.5,0.5,0,5.54,,0.3,43.84,1,1
2,2016-03-01 00:00:24,2016-03-01 00:03:10,N,1,-73.930335998535156,40.676826477050781,-73.927207946777344,40.688461303710938,1,.91,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-03-01 00:03:02,2016-03-01 00:04:12,N,5,-73.936874389648437,40.679725646972656,-73.936988830566406,40.679752349853516,1,.00,15,0,0,0,0,,0,15,2,2
2,2016-03-01 00:00:26,2016-03-01 00:04:40,N,1,-73.890853881835938,40.746513366699219,-73.896064758300781,40.735740661621094,1,1.01,5.5,0.5,0.5,0,0,,0.3,6.8,1,1
2,2016-03-01 00:01:41,2016-03-01 00:05:02,N,1,-73.911483764648437,40.699794769287109,-73.9039306640625,40.707626342773438,1,.69,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2016-03-01 00:03:02,2016-03-01 00:04:12,N,5,-73.936874389648437,40.679725646972656,-73.936988830566406,40.679752349853516,1,.00,-15,0,0,0,0,,0,-15,3,2
2,2016-03-01 00:01:05,2016-03-01 00:05:32,N,1,-73.969207763671875,40.693161010742188,-73.982460021972656,40.695743560791016,1,.85,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2016-03-01 00:02:52,2016-03-01 00:06:28,N,1,-73.956741333007813,40.712882995605469,-73.946769714355469,40.718238830566406,5,.71,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-03-01 00:05:38,2016-03-01 00:07:25,N,1,-73.95953369140625,40.809635162353516,-73.961570739746094,40.813095092773438,1,.38,3.5,0.5,0.5,0,0,,0.3,4.8,1,1
2,2016-03-01 00:06:56,2016-03-01 00:06:57,N,5,0,0,-73.915908813476562,40.868625640869141,1,.01,7,0,0,5,0,,0,12,1,2
2,2016-03-01 00:05:26,2016-03-01 00:07:49,N,1,-73.830284118652344,40.763359069824219,-73.832847595214844,40.76708984375,1,.41,4,0.5,0.5,0,0,,0.3,5.3,1,1
2,2016-03-01 00:04:03,2016-03-01 00:07:58,N,1,-73.935684204101563,40.85028076171875,-73.942924499511719,40.8502197265625,1,.68,4.5,0.5,0.5,1.16,0,,0.3,6.96,1,1
2,2016-03-01 00:05:33,2016-03-01 00:08:25,N,1,-73.944320678710938,40.825603485107422,-73.93927001953125,40.833095550537109,1,.75,4.5,0.5,0.5,1.16,0,,0.3,6.96,1,1
2,2016-03-01 00:04:25,2016-03-01 00:08:14,N,1,-73.953376770019531,40.680755615234375,-73.950790405273437,40.693683624267578,1,1.08,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-03-01 00:04:50,2016-03-01 00:08:31,N,1,-73.844070434570313,40.721183776855469,-73.849502563476562,40.732879638671875,1,.88,5,0.5,0.5,1.26,0,,0.3,7.56,1,1
2,2016-03-01 00:05:00,2016-03-01 00:08:35,N,1,-73.921485900878906,40.867656707763672,-73.917167663574219,40.870010375976562,1,.64,4.5,0.5,0.5,1,0,,0.3,6.8,1,1
2,2016-03-01 00:05:59,2016-03-01 00:08:44,N,1,-73.938316345214844,40.8177490234375,-73.944526672363281,40.809299468994141,1,.67,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2016-03-01 00:03:07,2016-03-01 00:08:58,N,1,-73.903480529785156,40.74530029296875,-73.901580810546875,40.734195709228516,2,1.06,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-03-01 00:04:07,2016-03-01 00:09:51,N,1,-73.95782470703125,40.721981048583984,-73.938377380371094,40.721553802490234,1,1.41,6.5,0.5,0.5,1.56,0,,0.3,9.36,1,1
2,2016-03-01 00:05:35,2016-03-01 00:09:56,N,1,-73.961456298828125,40.714244842529297,-73.9578857421875,40.721839904785156,1,.78,5,0.5,0.5,2,0,,0.3,8.3,1,1
2,2016-03-01 00:06:08,2016-03-01 00:09:51,N,1,-73.911422729492188,40.775470733642578,-73.899635314941406,40.779155731201172,5,.87,5,0.5,0.5,1.26,0,,0.3,7.56,1,1
2,2016-03-01 00:07:19,2016-03-01 00:09:38,N,1,-73.911819458007813,40.7750244140625,-73.907249450683594,40.770427703857422,1,.56,4,0.5,0.5,0,0,,0.3,5.3,2,1
2,2016-03-01 00:03:53,2016-03-01 00:10:03,N,1,-73.939788818359375,40.707401275634766,-73.953910827636719,40.707221984863281,1,.88,6,0.5,0.5,0,0,,0.3,7.3,1,1
2,2016-03-01 00:04:36,2016-03-01 00:09:30,N,1,-73.944610595703125,40.809158325195312,-73.945930480957031,40.798751831054688,1,1.14,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2016-03-01 00:10:21,2016-03-01 00:10:24,N,5,-73.939361572265625,40.848438262939453,-73.93927001953125,40.848445892333984,3,.00,30,0,0,0,0,,0,30,1,2
2,2016-03-01 00:06:25,2016-03-01 00:10:38,N,1,-73.980621337890625,40.699611663818359,-73.975776672363281,40.686843872070313,1,.97,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-03-01 00:07:04,2016-03-01 00:10:42,N,1,-73.829948425292969,40.713741302490234,-73.823028564453125,40.714645385742188,2,.65,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2016-03-01 00:05:33,2016-03-01 00:10:51,N,1,-73.957916259765625,40.721900939941406,-73.944564819335938,40.715461730957031,1,1.00,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1
2,2016-03-01 00:01:09,2016-03-01 00:10:26,N,1,-73.830429077148437,40.759433746337891,-73.8525390625,40.733692169189453,1,2.80,11,0.5,0.5,0,0,,0.3,12.3,2,1
2,2016-03-01 00:06:48,2016-03-01 00:10:41,N,1,-73.986610412597656,40.703784942626953,-73.982978820800781,40.69488525390625,1,.80,5,0.5,0.5,1.58,0,,0.3,7.88,1,1
2,2016-03-01 00:07:16,2016-03-01 00:10:50,N,1,-73.925270080566406,40.761756896972656,-73.917190551757813,40.773380279541016,2,.94,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-03-01 00:08:06,2016-03-01 00:11:24,N,1,-73.945449829101563,40.807979583740234,-73.951179504394531,40.804798126220703,1,.65,4.5,0.5,0.5,0,0,,0.3,5.8,1,1
2,2016-03-01 00:06:14,2016-03-01 00:10:50,N,1,-73.950775146484375,40.810703277587891,-73.939041137695312,40.828773498535156,1,1.41,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-03-01 00:10:51,2016-03-01 00:11:15,N,1,-73.938209533691406,40.847606658935547,-73.939651489257813,40.847625732421875,1,.02,2.5,0.5,0.5,0,0,,0.3,3.8,2,1
2,2016-03-01 00:08:03,2016-03-01 00:11:10,N,1,-73.963584899902344,40.808261871337891,-73.959091186523438,40.810264587402344,6,.41,4.5,0.5,0.5,1.16,0,,0.3,6.96,1,1
2,2016-03-01 00:04:53,2016-03-01 00:11:15,N,1,-73.878089904785156,40.748195648193359,-73.896743774414063,40.750553131103516,1,1.18,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-03-01 00:08:22,2016-03-01 00:11:17,N,1,-73.915168762207031,40.763950347900391,-73.921379089355469,40.761478424072266,1,.68,4.5,0.5,0.5,1.16,0,,0.3,6.96,1,1
2,2016-03-01 00:06:44,2016-03-01 00:11:39,N,1,-73.869827270507813,40.733566284179688,-73.861892700195312,40.735015869140625,1,.91,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2016-03-01 00:09:45,2016-03-01 00:11:30,N,1,-73.944320678710938,40.814338684082031,-73.938224792480469,40.818756103515625,1,.43,3.5,0.5,0.5,0,0,,0.3,4.8,2,1
2,2016-03-01 00:04:32,2016-03-01 00:12:16,N,1,-73.910324096679688,40.854618072509766,-73.909980773925781,40.859756469726562,1,.43,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2016-03-01 00:08:21,2016-03-01 00:12:12,N,1,-73.877166748046875,40.737644195556641,-73.876373291015625,40.748435974121094,1,.85,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-03-01 00:03:35,2016-03-01 00:12:19,N,1,-73.924118041992188,40.809604644775391,-73.863739013671875,40.820697784423828,1,3.93,13,0.5,0.5,3.58,0,,0.3,17.88,1,1
2,2016-03-01 00:08:02,2016-03-01 00:11:00,N,1,-73.936912536621094,40.819690704345703,-73.939231872558594,40.810951232910156,1,.71,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2016-03-01 00:07:51,2016-03-01 00:11:39,N,1,-73.82989501953125,40.713680267333984,-73.817466735839844,40.693798065185547,1,1.91,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2016-03-01 00:06:54,2016-03-01 00:11:55,N,1,-73.890754699707031,40.862110137939453,-73.877853393554688,40.874862670898438,1,1.32,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-03-01 00:07:08,2016-03-01 00:12:37,N,1,-73.951751708984375,40.715080261230469,-73.972251892089844,40.694915771484375,1,2.14,8,0.5,0.5,1.86,0,,0.3,11.16,1,1
2,2016-03-01 00:00:30,2016-03-01 00:12:23,N,1,-73.949882507324219,40.722156524658203,-74.004005432128906,40.723159790039063,1,3.63,13,0.5,0.5,2.86,0,,0.3,17.16,1,1
2,2016-03-01 00:08:51,2016-03-01 00:12:58,N,1,-73.944198608398437,40.814731597900391,-73.942039489746094,40.809665679931641,2,.71,5,0.5,0.5,1.26,0,,0.3,7.56,1,1
2,2016-03-01 00:05:05,2016-03-01 00:12:26,N,1,-73.975929260253906,40.687049865722656,-73.954704284667969,40.687278747558594,1,1.71,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2016-03-01 00:04:57,2016-03-01 00:12:56,N,1,-73.889503479003906,40.860733032226563,-73.920974731445313,40.867561340332031,1,1.93,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2016-03-01 00:07:56,2016-03-01 00:13:09,N,1,-73.9422607421875,40.754096984863281,-73.928573608398437,40.774112701416016,1,2.03,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2016-03-01 00:02:09,2016-03-01 00:13:20,N,1,-73.961997985839844,40.715843200683594,-73.943115234375,40.701492309570312,2,1.74,9.5,0.5,0.5,3.24,0,,0.3,14.04,1,1
2,2016-03-01 00:04:29,2016-03-01 00:13:25,N,1,-73.943557739257813,40.825611114501953,-73.931388854980469,40.831199645996094,1,1.93,8.5,0.5,0.5,2.94,0,,0.3,12.74,1,1
2,2016-03-01 00:06:20,2016-03-01 00:12:34,N,1,-73.938095092773437,40.679801940917969,-73.956863403320313,40.690700531005859,4,1.66,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2016-03-01 00:08:05,2016-03-01 00:12:50,N,1,-73.893104553222656,40.748809814453125,-73.876792907714844,40.750003814697266,1,.85,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2016-03-01 00:05:56,2016-03-01 00:13:06,N,1,-73.890243530273437,40.746936798095703,-73.884971618652344,40.763229370117188,1,1.43,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2016-03-01 00:09:12,2016-03-01 00:13:51,N,1,-73.951675415039063,40.713966369628906,-73.950347900390625,40.700538635253906,1,.93,5.5,0.5,0.5,0,0,,0.3,6.8,1,1
2,2016-03-01 00:14:08,2016-03-01 00:14:19,N,5,-73.880134582519531,40.820804595947266,-73.880172729492188,40.820785522460938,1,.00,7,0,0,1,0,,0,8,1,2
2,2016-03-01 00:04:32,2016-03-01 00:12:16,N,1,-73.910324096679688,40.854618072509766,-73.909980773925781,40.859756469726562,1,.43,-4.5,-0.5,-0.5,0,0,,-0.3,-5.8,4,1
2,2016-03-01 00:05:35,2016-03-01 00:13:59,N,1,-73.9097900390625,40.666038513183594,-73.883346557617187,40.673587799072266,1,1.76,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2016-03-01 00:08:50,2016-03-01 00:14:38,N,1,-73.965156555175781,40.714210510253906,-73.954139709472656,40.7078857421875,1,1.03,6,0.5,0.5,1.46,0,,0.3,8.76,1,1
2,2016-03-01 00:02:22,2016-03-01 00:14:40,N,1,-73.98065185546875,40.6884765625,-73.932952880859375,40.676769256591797,1,3.03,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
